0.673146,0.875844,0.202698,1
1.062801,1.328697,0.265896,2
1.342473,1.556231,0.213758,3
1.565507,1.775507,0.21,4
1.783317,1.99774,0.214423,5
2.005677,2.217443,0.211766,6
2.225384,2.437456,0.212072,7
2.445299,2.652215,0.206916,8
2.660334,2.871201,0.210867,9
2.879237,3.092969,0.213732,10
3.100971,3.309902,0.208931,11
3.317521,3.530066,0.212545,12
3.537764,3.747452,0.209688,13
3.755524,3.964613,0.209089,14
3.972415,4.185831,0.213416,15
4.194067,4.405192,0.211125,16
4.413229,4.627312,0.214083,17
4.635376,4.848246,0.21287,18
4.856304,5.066702,0.210398,19
5.074448,5.287198,0.21275,20
5.295192,5.510281,0.215089,21
5.518284,5.727345,0.209061,22
5.735386,5.942495,0.207109,23
5.950261,6.163583,0.213322,24
6.171382,6.381687,0.210305,25
6.389479,6.603682,0.214203,26
6.611593,6.818906,0.207313,27
6.826926,7.038872,0.211946,28
7.046702,7.256141,0.209439,29
7.264189,7.481789,0.2176,30
7.489802,7.72221,0.232408,31
7.73009,7.953127,0.223037,32
7.96128,8.172821,0.211541,33
8.180678,8.390124,0.209446,34
8.398008,8.610306,0.212298,35
8.618213,8.83347,0.215257,36
8.841381,9.057558,0.216177,37
9.065575,9.269531,0.203956,38
9.27738,9.488388,0.211008,39
9.496361,9.705681,0.20932,40
9.713492,9.927958,0.214466,41
9.935853,10.142757,0.206904,42
10.150628,10.356942,0.206314,43
10.365045,10.57411,0.209065,44
10.582107,10.805409,0.223302,45
10.81338,11.035232,0.221852,46
11.043264,11.257336,0.214072,47
11.265143,11.476511,0.211368,48
11.484385,11.695754,0.211369,49
11.708589,12.129327,0.420738,50
12.143055,12.55487,0.411815,51
12.568396,12.979891,0.411495,52
12.993745,13.402946,0.409201,53
13.416426,13.842411,0.425985,54
13.856464,14.264822,0.408358,55
14.278642,14.744387,0.465745,56
14.758014,15.193984,0.43597,57
15.207943,15.631969,0.424026,58
15.646125,16.060363,0.414238,59
16.074275,16.503334,0.429059,60
16.517457,16.948847,0.43139,61
16.962468,17.381285,0.418817,62
17.395481,17.840619,0.445138,63
17.854312,18.290974,0.436662,64
18.305171,18.582153,0.276982,65
